E:\anaconda\lib\site-packages\pandas\core\arrays\masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
排除科创板: 609 只, 包含ETF/LOF: 1066 只
获取到 6160 只A股
已处理 5600 只，待处理 1169 只
进度: 100/1169 | 涨停: 1348 只 | 速度: 5.3只/秒 | 剩余: 3.4分钟
进度: 200/1169 | 涨停: 1353 只 | 速度: 4.4只/秒 | 剩余: 3.6分钟
进度: 300/1169 | 涨停: 1362 只 | 速度: 4.3只/秒 | 剩余: 3.3分钟
进度: 400/1169 | 涨停: 1365 只 | 速度: 4.4只/秒 | 剩余: 2.9分钟
进度: 500/1169 | 涨停: 1369 只 | 速度: 4.5只/秒 | 剩余: 2.5分钟
进度: 600/1169 | 涨停: 1376 只 | 速度: 4.5只/秒 | 剩余: 2.1分钟
进度: 700/1169 | 涨停: 1393 只 | 速度: 4.6只/秒 | 剩余: 1.7分钟
进度: 800/1169 | 涨停: 1398 只 | 速度: 4.6只/秒 | 剩余: 1.3分钟
进度: 900/1169 | 涨停: 1400 只 | 速度: 4.5只/秒 | 剩余: 1.0分钟
进度: 1000/1169 | 涨停: 1407 只 | 速度: 4.4只/秒 | 剩余: 0.6分钟
